GeneSymbol	GeneID	GI
LOC620017	620017	gi|83029092
Dchs2	229459	gi|94369682
EG667472	667472	gi|94379981
Dnahc3	381917	gi|94381000
Wnk3	279561	gi|94408423
LOC100040786	100040786	gi|236461352
Mageb2	17146	gi|13624319
Igh-VJ558	16061	gi|309262028
Apbb2	11787	gi|33468879
Vmn2r94	665227	gi|157151751
Gucy2d	14918	gi|194688157
OTTMUSG00000016609	668030	gi|154426260
Arfgap3	66251	gi|30841021
Slc2a10	170441	gi|18485498
Cetn4	207175	gi|22003866
Slfn8	276950	gi|268370030
Slfn8	276950	gi|268370032
Olfr611	258722	gi|160333177
Maml2	270118	gi|194440693
Rpl34	68436	gi|55741555
9830001H06Rik	320706	gi|257467641
Spg11	214585	gi|226958532
Defa17	23855	gi|268607652
Gm13154	433804	gi|169646737
E430018J23Rik	101604	gi|268370222
4930444G20Rik	114671	gi|163965379
Gm15292	100041787	gi|294489244
Gm6408	623198	gi|340745361
Cd72	12517	gi|160333097
Ttc12	235330	gi|27370132
Magoh	17149	gi|6754616
Hbb-y	15135	gi|6680177
Trim14	74735	gi|39540508
Prss27	213171	gi|28202035
Slx4	52864	gi|42734487
Tuba1c	22146	gi|6678469
Apol7e	666348	gi|198278477
Sp4	20688	gi|261824025
Sp4	20688	gi|261824027
Col6a5	665033	gi|269315863
Iqub	214704	gi|255683447
Zfp600	667666	gi|294712570
Gm5891	545929	gi|85702264
H2-Q7	15018	gi|310616735
Gm13247	100041433	gi|341865601
Gm13247	100041433	gi|341865603
Dcdc2b	100504491	gi|307691167
Rgs22	626596	gi|307691211
Zfp600	667666	gi|294712568
H2-Q7	15018	gi|310616733
Pqbp1	54633	gi|31980927
Rnf150	330812	gi|90991708
Il1rapl1	331461	gi|237874261
Ywhaq	22630	gi|6756039
Apod	11815	gi|75677437
Mcat	223722	gi|71725343
Upb1	103149	gi|19527212
Pfas	237823	gi|226958458
Uap1	107652	gi|30520375
Acyp2	75572	gi|27229219
Me2	107029	gi|21703972
Mylk3	213435	gi|83776559
Tkt	21881	gi|6678359
Pdia6	71853	gi|58037267
Klrb1c	17059	gi|229577430
Rex2	100043034	gi|295293068
Lrp6	16974	gi|148727327
Gnptg	214505	gi|49457855
Gulo	268756	gi|30520195
Wars	22375	gi|256818746
Wars	22375	gi|256818802
Wars	22375	gi|256818806
Tnfsf14	50930	gi|9507195
Sost	74499	gi|238550155
Mmp10	17384	gi|9506899
Taar6	215855	gi|58082055
Ear3	53876	gi|8393283
Setd1a	233904	gi|119508422
Olfr8	18372	gi|46402164
Olfr141	257913	gi|120444916
Gspt2	14853	gi|58331156
Exoc8	102058	gi|37674218
Samd1	666704	gi|124487221
Btbd16	330660	gi|238776835
Olfr688	259161	gi|126090809
Rtkn2	170799	gi|124486793
Actl7b	11471	gi|146198843
Ttc30a1	78802	gi|125988391
Agl	77559	gi|124486747
Olfr1013	258757	gi|121583643
Mrgpra5	404235	gi|46430524
Gm5136	368203	gi|45361707
Ranbp6	240614	gi|53850664
Nemf	66244	gi|32130521
Wdr64	75820	gi|268370090
Ugt1a6b	394435	gi|284413688
Plekhn1	231002	gi|289666803
Hnrnpa0	77134	gi|226443091
1110032F04Rik	68725	gi|269847632
Fer1l4	74562	gi|211971048
Zfr2	103406	gi|163954931
Krtap27-1	239933	gi|251823788
Mtx3	382793	gi|242397501
Chadl	214685	gi|256222806
Ccdc74a	72315	gi|261244908
Hist2h2ab	621893	gi|119433657
Efcab5	319634	gi|118026915
Fbll1	237730	gi|51921297
Gpr25	383563	gi|197313678
Capns2	69543	gi|254675215
Vmn2r28	665255	gi|124487153
Gm4172	100043016	gi|297139667
Gm1661	381544	gi|224500887
Taar9	503558	gi|58082063
Tas2r137	574417	gi|71480160
Tram1l1	229801	gi|22122669
Pcdhb14	93885	gi|148613871
Bzrap1	207777	gi|157909774
Tmem229a	319832	gi|125347403
Ascc3	77987	gi|225703058
Kcnf1	382571	gi|237513011
Chmp1b	67064	gi|13195618
Med12l	329650	gi|242397421
Fance	72775	gi|255652993
Mocs3	69372	gi|237820699
Ccdc6	76551	gi|162135971
Ppp1r36	210762	gi|251823783
Rsc1a1	69994	gi|77404400
Sft2d3	67158	gi|242247185
Rpl31-ps12	665562	gi|386365497
Tmem235	546519	gi|147905830
Senp7	66315	gi|51593105
Fam193a	231128	gi|341572571
Fscb	623046	gi|253795534
Prlhr	226278	gi|256773306
Arhgef5	54324	gi|169234803
Ncapg	54392	gi|169234780
N4bp2	333789	gi|67906816
Chd5	269610	gi|124487025
Cyp2b23	243881	gi|124487255
Pigg	433931	gi|124486987
Pappa2	23850	gi|145699121
Scml2	107815	gi|118403328
Zfp558	72230	gi|254692890
Tgm7	640543	gi|238018142
Zfp407	240476	gi|256223449
Gm3317	666329	gi|379642572
Gm5347	384814	gi|121247243
Adamts6	108154	gi|124486614
A430078G23Rik	319493	gi|283837884
Gm10256	100042874	gi|395394001
Gm10352	100042881	gi|395394006
Gm4064	100042849	gi|395394021
Pcdhb21	93892	gi|18087803
Pcdhb16	93887	gi|148728175
Ddx43	100048658	gi|300795358
B230216G23Rik	319552	gi|393715075
Cxx1a	66158	gi|21313590
Taf4b	72504	gi|226958537
Cldn20	621628	gi|158186785
Gm17384	100322896	gi|282396084
Nme9	623534	gi|260099719
Oog1	193322	gi|168480123
Gm14744	628923	gi|147903749
Ascl5	226439	gi|396578161
Gm6763	627488	gi|399923572
Gm8764	667692	gi|399923574
Gm2663	100040208	gi|156627586
1700023F06Rik	69441	gi|360039201
Gm684	100502940	gi|307574685
Gm11562	100502803	gi|365733600
AI607873	226691	gi|325995159
Olfr1354	259163	gi|315360671
Gm14378	100044509	gi|305410856
Gm6537	100504112	gi|304307759
Rgsl1	240816	gi|342672040
1700056E22Rik	73363	gi|294979199
Gm10142	100502921	gi|326381087
LOC100504608	100504608	gi|326381089
Vmn2r44	434113	gi|157311637
Gm4461	100043474	gi|312261276
5830473C10Rik	622307	gi|358030311
Gm14477	100042929	gi|339639569
Adamtsl3	269959	gi|298566265
Mrgpra9	668725	gi|294774583
Wdr96	100048534	gi|307344688
Fmo6	226565	gi|295842425
Vmn2r38	434110	gi|157311627
