GeneSymbol	GeneID	GI
OPRM1	4988	gi|117940055
OPRM1	4988	gi|117940058
OPRM1	4988	gi|223718716
KRTAP5-11	440051	gi|53292629
PRAMEF12	390999	gi|124249372
OR1I1	126370	gi|52317162
OR2M5	127059	gi|52317206
OR4C46	119749	gi|52353949
OR5H1	26341	gi|52856424
OR6C76	390326	gi|52421786
HOXC12	3228	gi|27804315
KRTAP6-1	337966	gi|31791038
OR51F1	256892	gi|52353947
KRTAP6-2	337967	gi|31791040
KRTAP19-2	337969	gi|31791032
KRTAP19-4	337971	gi|31791028
XKRY2	353515	gi|51093878
CCDC96	257236	gi|23503317
OR6C74	254783	gi|53933268
OR5B21	219968	gi|57634530
OR6C6	283365	gi|53933270
KRTAP15-1	254950	gi|31790998
OR6C75	390323	gi|54019430
OR6C70	390327	gi|53933272
OR4F21	441308	gi|53933274
ONECUT3	390874	gi|122937424
FAM127A	8933	gi|118200335
OR5H15	403274	gi|53933284
OR5K3	403277	gi|53933278
OR5K4	403278	gi|53933287
OR6C65	403282	gi|53933282
CFC1B	653275	gi|118600995
RRAGA	10670	gi|5729999
ITPRIPL1	150771	gi|57164962
RIMBP3B	440804	gi|191252814
OR2G6	391211	gi|61656210
ACTRT2	140625	gi|29893808
SF3B5	83443	gi|13775200
OR5C1	392391	gi|53828676
OR2AE1	81392	gi|52627151
OR8U9	504190	gi|61656212
OR4P4	81300	gi|51871367
OR2M2	391194	gi|52317204
OR10G9	219870	gi|50080193
GPR135	64582	gi|32261309
OR4D11	219986	gi|52317241
SOX21	11166	gi|5902108
OR13C8	138802	gi|52218864
TSPYL4	23270	gi|46094051
ABHD16B	140701	gi|28629871
OR10G2	26534	gi|53793663
OR8B2	26595	gi|53793675
GTSF1L	149699	gi|31088934
OR2T6	254879	gi|53793690
OR6C3	254786	gi|50080213
OR6C2	341416	gi|50080219
OR5AC2	81050	gi|52546683
OR8U1	219417	gi|52353304
OR51A2	401667	gi|52317146
OR4F5	79501	gi|53828740
KRTAP19-1	337882	gi|31791030
FAM43A	131583	gi|31377557
KBTBD6	89890	gi|45333883
OR2T8	343172	gi|53850670
FAM127B	26071	gi|118200333
OR4F17	81099	gi|52546739
OR5M11	219487	gi|52546741
C3orf80	401097	gi|270265902
MAB21L2	10586	gi|5453730
KRTAP4-8	728224	gi|225690554
OR56A5	390084	gi|225637544
FOXR2	139628	gi|38348219
RIMBP3C	150221	gi|191252806
MAGEB4	4115	gi|4505085
TTC24	164118	gi|282165719
DCAF12L2	340578	gi|61966713
C6orf141	135398	gi|224586894
LCE1A	353131	gi|30387654
TTC34	100287898	gi|336455091
NAP1L3	4675	gi|21327710
TMEM81	388730	gi|42794618
KRTAP20-1	337975	gi|31791020
KRTAP21-1	337977	gi|31791010
KRTAP22-1	337979	gi|31791012
KRTAP5-5	439915	gi|122891874
PRAMEF8	391002	gi|59676587
EID3	493861	gi|56605998
MPEG1	219972	gi|133505169
C9orf172	389813	gi|148762978
KRTAP10-7	386675	gi|38490571
LRRC30	339291	gi|157743290
C17orf100	388327	gi|157502220
CXorf27	25763	gi|150456434
KRTAP24-1	643803	gi|148277102
EIF4E1B	253314	gi|150378456
KIAA0754	643314	gi|149773456
KRTAP21-2	337978	gi|31791016
KRTAP13-2	337959	gi|31791006
MBD3L5	284428	gi|211059437
C2orf81	388963	gi|222831614
